13,7,2
2,800,224,1,32,1184,1
3,96,416
3,32,416
3,160,416
3,224,416
3,288,416
3,352,416
3,480,416
3,544,416
3,608,416
3,608,352
3,672,352
3,736,352
3,736,416
3,672,416
3,800,416
3,800,352
3,800,288
3,800,160
3,800,96
3,800,32
3,736,32
3,672,32
3,608,32
3,544,32
3,480,32
3,416,32
3,352,32
3,288,32
3,224,32
3,160,32
3,96,32
3,32,32
3,32,96
3,96,96
3,160,96
3,224,96
3,288,96
3,672,96
3,736,96
3,608,96
3,544,96
3,480,96
3,416,96
3,352,96
3,672,160
3,736,160
3,608,160
3,544,160
3,96,160
3,160,160
3,224,160
3,288,160
3,352,160
3,416,160
3,480,160
3,32,160
3,32,224
3,96,224
3,160,224
3,224,224
3,288,224
3,416,224
3,480,224
3,544,224
3,608,224
3,672,224
3,736,224
3,352,288
3,352,224
3,416,288
3,416,352
3,480,352
3,544,352
3,544,288
3,608,288
3,672,288
3,736,288
3,480,288
3,352,352
3,288,352
3,224,352
3,160,352
3,160,288
3,224,288
3,288,288
3,96,288
3,32,288
3,32,352
3,96,352
1,800,416
1,736,416
1,672,416
1,608,416
1,544,416
1,480,416
1,352,416
1,288,416
1,224,416
1,160,416
1,96,416
1,32,416
1,32,352
1,32,288
1,32,224
1,32,160
1,32,96
1,32,32
1,96,32
1,160,32
1,224,32
1,800,32
1,736,32
1,672,32
1,608,32
1,544,32
1,480,32
1,416,32
1,352,32
1,288,32
1,800,160
1,800,96
1,800,288
1,800,352
3,416,416
1,672,160
1,672,288
1,224,160
1,224,288
1,416,416
3,800,224
